成绩,频率
0,82
4,69
8,550
12,798
16,1824
20,3237
24,4829
28,7380
32,9868
36,12192
40,14228
44,16337
48,18010
52,21328
56,27332
60,35549
64,47892
68,61811
72,75496
76,86755
80,94807
84,98810
88,103612
92,111428
96,124215
100,144181
104,166944
108,189193
112,203256
116,208256
120,205119
124,199043
128,194483
132,198254
136,209472
140,223695
144,235431
148,239467
152,237979
156,232783
160,232373
164,243094
168,269838
172,307264
176,351285
180,390505
184,419254
188,432542
192,443881
196,459359
200,493605
204,547631
208,617125
212,682685
216,731359
220,749807
224,742085
228,717302
232,691630
236,682873
240,689899
244,707576
248,723583
252,717927
256,692706
260,652104
264,610716
268,580877
272,570898
276,579443
280,595141
284,608309
288,605192
292,591077
296,570520
300,555855
304,553938
308,569620
312,593111
316,613932
320,624345
324,615853
328,590229
332,559915
336,536184
340,523180
344,523452
348,527670
352,533864
356,527083
360,512653
364,493009
368,481177
372,480001
376,493945
380,518901
384,544818
388,560616
392,561393
396,550773
400,536134
404,525771
408,524743
412,534727
416,547057
420,557448
424,556661
428,547143
432,534968
436,526035
440,530395
444,553680
448,590142
452,630907
456,668869
460,692894
464,707964
468,722366
472,744038
476,782789
480,834213
484,895701
488,947082
492,980478
496,982324
500,964120
504,932550
508,901438
512,878744
516,867768
520,859463
524,847429
528,820839
532,783622
536,737666
540,697957
544,667045
548,653493
552,649366
556,652081
560,650221
564,639984
568,621732
572,602502
576,587639
580,582909
584,583480
588,587002
592,588035
596,578286
600,558203
604,528230
608,494060
612,464487
616,440533
620,422259
624,408482
628,390864
632,371481
636,348843
640,326391
644,309679
648,294857
652,285920
656,282257
660,277268
664,268880
668,257038
672,244375
676,230648
680,219379
684,210373
688,203811
692,197268
696,190542
700,183275
704,174287
708,165997
712,159803
716,156920
720,155711
724,157843
728,159441
732,160502
736,160499
740,159760
744,159124
748,160558
752,163001
756,167449
760,170755
764,172128
768,170503
772,168358
776,164692
780,162996
784,161649
788,160548
792,159403
796,158643
800,155789
804,151921
808,147311
812,144650
816,143198
820,142744
824,142679
828,143696
832,142761
836,141608
840,140975
844,140502
848,143810
852,147360
856,153114
860,159635
864,164636
868,169657
872,174330
876,178900
880,186110
884,194337
888,204222
892,211918
896,219262
900,222520
904,220545
908,217025
912,214143
916,207918
920,205420
924,201834
928,198080
932,192936
936,187134
940,178370
944,170293
948,164448
952,159436
956,156532
960,155070
964,153690
968,152703
972,149836
976,147216
980,145007
984,144413
988,143355
992,142766
996,143313
1000,141538
1004,138189
1008,133341
1012,128813
1016,123646
1020,119649
1024,116404
1028,114048
1032,111334
1036,108267
1040,105606
1044,103520
1048,101674
1052,100290
1056,101150
1060,101855
1064,102747
1068,102947
1072,102785
1076,101268
1080,98832
1084,97180
1088,95655
1092,94698
1096,93437
1100,91616
1104,90441
1108,89188
1112,87738
1116,86458
1120,86294
1124,87752
1128,90178
1132,92342
1136,95293
1140,96688
1144,98089
1148,99196
1152,101154
1156,103934
1160,104549
1164,106446
1168,108360
1172,108109
1176,106481
1180,102500
1184,98878
1188,94323
1192,89731
1196,85824
1200,82482
1204,77652
1208,73417
1212,69160
1216,65876
1220,61883
1224,58993
1228,56265
1232,55316
1236,53197
1240,51928
1244,49683
1248,47982
1252,46429
1256,44994
1260,43243
1264,42081
1268,40737
1272,39122
1276,37226
1280,35065
1284,32614
1288,30693
1292,28464
1296,26991
1300,24955
1304,23579
1308,22195
1312,20977
1316,19781
1320,18584
1324,17876
1328,16834
1332,16321
1336,15551
1340,15060
1344,14078
1348,13576
1352,12654
1356,12226
1360,11366
1364,10891
1368,10223
1372,9763
1376,9199
1380,8914
1384,8239
1388,8081
1392,7661
1396,7458
1400,7285
1404,7448
1408,7323
1412,7282
1416,7246
1420,7254
1424,7009
1428,6923
1432,6875
1436,6800
1440,6635
1444,6291
1448,6250
1452,6146
1456,5949
1460,5677
1464,5400
1468,5239
1472,5029
1476,4854
1480,4382
1484,4326
1488,4080
1492,4012
1496,3874
1500,3674
1504,3616
1508,3386
1512,3306
1516,3320
1520,3103
1524,3105
1528,3134
1532,3112
1536,3038
1540,2944
1544,2964
1548,2964
1552,2945
1556,2904
1560,2899
1564,2831
1568,2798
1572,2710
1576,2681
1580,2593
1584,2531
1588,2349
1592,2248
1596,2189
1600,1971
1604,1799
1608,1805
1612,1658
1616,1513
1620,1428
1624,1359
1628,1270
1632,1194
1636,1098
1640,1068
1644,989
1648,987
1652,938
1656,905
1660,874
1664,834
1668,833
1672,847
1676,758
1680,832
1684,843
1688,813
1692,874
1696,868
1700,869
1704,971
1708,1036
1712,1056
1716,1195
1720,1229
1724,1334
1728,1414
1732,1434
1736,1497
1740,1499
1744,1667
1748,1658
1752,1704
1756,1708
1760,1754
1764,1803
1768,1778
1772,1827
1776,1884
1780,1867
1784,1924
1788,2071
1792,2096
1796,2079
1800,2282
1804,2409
1808,2563
1812,2633
1816,2826
1820,3004
1824,3147
1828,3278
1832,3427
1836,3467
1840,3466
1844,3536
1848,3592
1852,3504
1856,3308
1860,3349
1864,3328
1868,3314
1872,3122
1876,3019
1880,2934
1884,2758
1888,2765
1892,2709
1896,2658
1900,2610
1904,2560
1908,2556
1912,2485
1916,2575
1920,2452
1924,2497
1928,2474
1932,2405
1936,2336
1940,2297
1944,2276
1948,2187
1952,2108
1956,2129
1960,2027
1964,1978
1968,1884
1972,1834
1976,1828
1980,1754
1984,1732
1988,1641
1992,1688
1996,1617
2000,1648
2004,1696
2008,1667
2012,1603
2016,1586
2020,1604
2024,1498
2028,1587
2032,1579
2036,1532
2040,1463
2044,1413
2048,1452
2052,1447
2056,1458
2060,1405
2064,1400
2068,1593
2072,1481
2076,1545
2080,1627
2084,1636
2088,1628
2092,1675
2096,1694
2100,1721
2104,1712
2108,1691
2112,1732
2116,1693
2120,1647
2124,1623
2128,1495
2132,1435
2136,1401
2140,1336
2144,1231
2148,1195
2152,1131
2156,1077
2160,1066
2164,990
2168,952
2172,910
2176,828
2180,848
2184,792
2188,780
2192,746
2196,696
2200,720
2204,714
2208,610
2212,634
2216,562
2220,593
2224,520
2228,509
2232,427
2236,480
2240,370
2244,374
2248,378
2252,320
2256,347
2260,313
2264,273
2268,267
2272,260
2276,216
2280,264
2284,234
2288,215
2292,212
2296,217
2300,172
2304,182
2308,178
2312,172
2316,154
2320,147
2324,132
2328,139
2332,125
2336,130
2340,107
2344,124
2348,107
2352,130
2356,123
2360,130
2364,106
2368,111
2372,120
2376,127
2380,118
2384,118
2388,113
2392,139
2396,128
2400,109
2404,127
2408,123
2412,100
2416,121
2420,114
2424,111
2428,123
2432,97
2436,98
2440,99
2444,108
2448,114
2452,78
2456,108
2460,116
2464,101
2468,106
2472,81
2476,104
2480,116
2484,112
2488,133
2492,118
2496,127
2500,115
2504,115
2508,139
2512,122
2516,123
2520,145
2524,116
2528,117
2532,118
2536,91
2540,94
2544,112
2548,91
2552,94
2556,84
2560,68
2564,77
2568,71
2572,73
2576,65
2580,72
2584,61
2588,71
2592,54
2596,54
2600,45
2604,50
2608,43
2612,44
2616,34
2620,53
2624,50
2628,36
2632,44
2636,39
2640,42
2644,34
2648,29
2652,34
2656,30
2660,39
2664,30
2668,41
2672,25
2676,28
2680,34
2684,25
2688,27
2692,32
2696,19
2700,22
2704,22
2708,32
2712,23
2716,24
2720,22
2724,29
2728,25
2732,15
2736,17
2740,25
2744,16
2748,27
2752,15
2756,23
2760,18
2764,21
2768,24
2772,28
2776,28
2780,16
2784,13
2788,21
2792,14
2796,21
2800,15
2804,11
2808,21
2812,12
2816,18
2820,9
2824,7
2828,8
2832,9
2836,9
2840,11
2844,7
2848,8
2852,4
2856,4
2860,4
2864,8
2868,5
2872,8
2876,5
2880,4
2884,6
2888,4
2892,5
2896,3
2904,3
2908,5
2916,3
2920,2
2928,3
2932,2
2936,3
2944,2
2948,4
2952,3
2956,2
2960,2
2968,4
2972,5
2976,3
2980,2
3004,2
3012,2
3016,2
3020,2
3052,2
3072,2
3080,2
3092,2
3104,2
3116,2
3148,2
3176,2
3184,2
3356,2
3372,2
3400,2
3432,2
3816,2
3864,2
3872,2
3900,2
3996,3
4200,2
4228,3
4648,2
